Flag,N,Rep,Tempo,RSS,Text,Cycles,Instructions,CacheReferences,CacheMisses,Branches,BranchMisses,L1Loads,L1LoadMisses,L2Access,L2Misses,L3Access,L3Misses
-Ofast,256,17,0.013167,19104,2717,56766910,86935288,20848898,6983251,11654580,60114,20725799,9994132,8003321,NA,NA,NA
-Ofast,256,18,0.013266,19080,2717,69495830,90546620,21117668,6507432,11679792,62766,20220808,9630002,451326,NA,NA,NA
-Ofast,256,19,0.012570,18660,2717,65264826,90495330,21230996,6584023,11672717,60842,20294229,9699988,5599868,NA,NA,NA
-Ofast,256,20,0.013021,18996,2717,68315970,90740029,21395112,6348513,11655165,62739,20222045,9632594,NA,NA,NA,NA
-Ofast,256,21,0.012853,18604,2717,66770483,67738250,15332763,6097030,11658573,138160,22175720,11362784,10875873,165084,NA,NA
-Ofast,256,22,0.012518,19048,2717,59596509,88498757,19837232,6183956,11659981,138588,20391211,9926747,9129862,NA,NA,NA
-Ofast,256,23,0.012210,18908,2717,63282639,82923485,17940425,5071283,11698108,65251,21520261,10274776,5654305,NA,NA,NA
-Ofast,256,24,0.012679,18792,2717,33358985,82118247,18767821,6116032,11664293,140214,21057913,10538451,9953911,NA,NA,NA
-Ofast,256,25,0.011907,18728,2717,60614738,89146055,21244911,6114543,11654373,72847,20346070,9646298,5341514,NA,NA,NA
-Ofast,256,26,0.013214,18780,2717,64115555,90248735,21175824,6067266,11649117,62190,20223335,9357381,3875768,NA,NA,NA
-Ofast,256,27,0.012133,19044,2717,48183034,78592812,19457731,6203940,11653399,110001,21461049,10384198,9058373,NA,NA,NA
-Ofast,256,28,0.012283,18956,2717,56345142,87781659,21552595,6481190,11631633,58602,20748012,9805964,NA,NA,NA,NA
-Ofast,256,29,0.012109,18996,2717,66421279,82003402,19507469,5435967,11664429,95620,21201162,10213266,9305732,NA,NA,NA
-Ofast,256,30,0.013736,18768,2717,66443117,86923115,19066521,6092946,11692396,139191,20699334,10121552,9352520,NA,NA,NA
-O0,512,1,0.431937,18856,2832,1919730791,3675742423,367449245,135911543,154630899,575401,964283082,139992270,139930794,16037269,NA,NA
-O0,512,2,0.501856,18828,2832,1975519876,3739593620,369965830,141045807,156396640,617526,948672053,135227633,134967345,15205549,NA,NA
-O0,512,3,0.543735,18576,2832,2043159716,3698657408,345794916,132799042,152357617,715527,961524311,142652647,143131571,13290651,NA,NA
-O0,512,4,0.427613,18996,2832,1911499015,3682993319,370513064,136158614,154372896,618167,962710305,139590932,139564191,14593847,NA,NA
-O0,512,5,0.426772,18836,2832,1906758289,3669973801,368610603,136485554,154026587,576620,964581967,139927443,139172556,14048702,NA,NA
-O0,512,6,0.432182,19060,2832,1927480528,3669364998,368694880,135729728,154488366,723922,967171995,140065630,140240328,14197362,NA,NA
-O0,512,7,0.455724,18716,2832,1882184575,3615709728,361519561,135679609,155346059,759086,979973887,140916804,140082796,13768572,NA,NA
-O0,512,8,0.441718,19072,2832,1897364922,3677729181,366636531,135626401,154788421,835669,965632268,139481366,140054187,13654882,NA,NA
-O0,512,9,0.478726,18676,2832,1934870902,3652541905,354438151,133387113,152714476,819267,971190409,143117339,142309129,14780924,NA,NA
-O0,512,10,0.517804,18968,2832,1946640027,3650340631,349953481,139296437,160991262,620705,971060613,141054268,136440638,12704950,NA,NA
-O0,512,11,0.468729,18916,2832,1925508143,3655470229,357137940,135086800,154159803,749274,970850633,140469646,140342590,17797084,NA,NA
-O0,512,12,0.441292,18860,2832,1936224282,3681527850,366699138,135547419,154059438,680288,962858668,140076702,140276225,13649798,NA,NA
