group1,group2,meandiff,p-adj,lower,upper,reject,Metrica,N
-O1,-O3,-14981907962.9,0.0,-15313753772.56,-14650062153.24,True,Cycles,1024
-O1,-Ofast,-14977308136.5333,0.0,-15309153946.1934,-14645462326.8733,True,Cycles,1024
-O2,-O3,56184370.5,0.9901,-275661439.16,388030180.16,False,Cycles,1024
-O2,-Ofast,60784196.8667,0.9867,-271061612.7934,392630006.5267,False,Cycles,1024
-O3,-Ofast,4599826.3667,1.0,-327245983.2934,336445636.0267,False,Cycles,1024
-O0,-O1,375814180695.3,0.0,371093393557.0398,380534967833.5601,True,Cycles,2048
-O0,-O2,-25594803426.1,0.0,-30315590564.3602,-20874016287.8398,True,Cycles,2048
-O0,-O3,-26695232247.4,0.0,-31416019385.6602,-21974445109.1399,True,Cycles,2048
-O0,-Ofast,-26956327367.1,0.0,-31677114505.3602,-22235540228.8398,True,Cycles,2048
-O1,-O2,-401408984121.4,0.0,-406129771259.6602,-396688196983.1399,True,Cycles,2048
-O1,-O3,-402509412942.7,0.0,-407230200080.9602,-397788625804.4399,True,Cycles,2048
-O1,-Ofast,-402770508062.4,0.0,-407491295200.6602,-398049720924.1399,True,Cycles,2048
-O2,-O3,-1100428821.3,0.9634,-5821215959.5602,3620358316.9601,False,Cycles,2048
-O2,-Ofast,-1361523941.0,0.9232,-6082311079.2602,3359263197.2602,False,Cycles,2048
-O3,-Ofast,-261095119.7,0.9999,-4981882257.9601,4459692018.5602,False,Cycles,2048
-O0,-O1,-327552830.2667,0.0,-331519042.4277,-323586618.1056,True,Instructions,256
-O0,-O2,-375861527.4667,0.0,-379827739.6277,-371895315.3056,True,Instructions,256
-O0,-O3,-377349218.6,0.0,-381315430.7611,-373383006.4389,True,Instructions,256
-O0,-Ofast,-376508635.7667,0.0,-380474847.9277,-372542423.6056,True,Instructions,256
-O1,-O2,-48308697.2,0.0,-52274909.3611,-44342485.0389,True,Instructions,256
-O1,-O3,-49796388.3333,0.0,-53762600.4944,-45830176.1723,True,Instructions,256
-O1,-Ofast,-48955805.5,0.0,-52922017.6611,-44989593.3389,True,Instructions,256
-O2,-O3,-1487691.1333,0.8382,-5453903.2944,2478521.0277,False,Instructions,256
-O2,-Ofast,-647108.3,0.9914,-4613320.4611,3319103.8611,False,Instructions,256
-O3,-Ofast,840582.8333,0.9771,-3125629.3277,4806794.9944,False,Instructions,256
-O0,-O1,-2667909621.3333,0.0,-2681927288.2682,-2653891954.3984,True,Instructions,512
-O0,-O2,-3013594529.8,0.0,-3027612196.7349,-2999576862.8651,True,Instructions,512
-O0,-O3,-3008619839.1333,0.0,-3022637506.0682,-2994602172.1984,True,Instructions,512
-O0,-Ofast,-3006009985.0333,0.0,-3020027651.9682,-2991992318.0984,True,Instructions,512
-O1,-O2,-345684908.4667,0.0,-359702575.4016,-331667241.5318,True,Instructions,512
-O1,-O3,-340710217.8,0.0,-354727884.7349,-326692550.8651,True,Instructions,512
-O1,-Ofast,-338100363.7,0.0,-352118030.6349,-324082696.7651,True,Instructions,512
-O2,-O3,4974690.6667,0.8637,-9042976.2682,18992357.6016,False,Instructions,512
-O2,-Ofast,7584544.7667,0.5676,-6433122.1682,21602211.7016,False,Instructions,512
-O3,-Ofast,2609854.1,0.9858,-11407812.8349,16627521.0349,False,Instructions,512
-O0,-O1,-21563451975.0333,0.0,-21603184410.5415,-21523719539.5251,True,Instructions,1024
-O0,-O2,-24254037565.3667,0.0,-24293770000.8749,-24214305129.8585,True,Instructions,1024
-O0,-O3,-24252087804.7667,0.0,-24291820240.2749,-24212355369.2585,True,Instructions,1024
-O0,-Ofast,-24254642884.3333,0.0,-24294375319.8415,-24214910448.8251,True,Instructions,1024
-O1,-O2,-2690585590.3333,0.0,-2730318025.8415,-2650853154.8251,True,Instructions,1024
-O1,-O3,-2688635829.7333,0.0,-2728368265.2415,-2648903394.2251,True,Instructions,1024
-O1,-Ofast,-2691190909.3,0.0,-2730923344.8082,-2651458473.7918,True,Instructions,1024
-O2,-O3,1949760.6,0.9999,-37782674.9082,41682196.1082,False,Instructions,1024
-O2,-Ofast,-605318.9667,1.0,-40337754.4749,39127116.5415,False,Instructions,1024
-O3,-Ofast,-2555079.5667,0.9998,-42287515.0749,37177355.9415,False,Instructions,1024
-O0,-O1,-171526075664.2,0.0,-171619042686.7269,-171433108641.6731,True,Instructions,2048
-O0,-O2,-193381919761.3,0.0,-193474886783.8269,-193288952738.7731,True,Instructions,2048
-O0,-O3,-193442610308.2,0.0,-193535577330.7269,-193349643285.6731,True,Instructions,2048
-O0,-Ofast,-193434163568.5,0.0,-193527130591.0269,-193341196545.9731,True,Instructions,2048
-O1,-O2,-21855844097.1,0.0,-21948811119.6269,-21762877074.5731,True,Instructions,2048
-O1,-O3,-21916534644.0,0.0,-22009501666.5269,-21823567621.4731,True,Instructions,2048
-O1,-Ofast,-21908087904.3,0.0,-22001054926.8269,-21815120881.7731,True,Instructions,2048
-O2,-O3,-60690546.9,0.356,-153657569.4269,32276475.6269,False,Instructions,2048
-O2,-Ofast,-52243807.2,0.5072,-145210829.7269,40723215.3269,False,Instructions,2048
-O3,-Ofast,8446739.7,0.999,-84520282.8269,101413762.2269,False,Instructions,2048
-O0,-O1,-6265650.2,0.0,-6641209.8051,-5890090.5949,True,CacheMisses,256
-O0,-O2,-10845600.0333,0.0,-11221159.6384,-10470040.4282,True,CacheMisses,256
-O0,-O3,-10978436.4667,0.0,-11353996.0718,-10602876.8616,True,CacheMisses,256
-O0,-Ofast,-11074160.1333,0.0,-11449719.7384,-10698600.5282,True,CacheMisses,256
-O1,-O2,-4579949.8333,0.0,-4955509.4384,-4204390.2282,True,CacheMisses,256
